GroupID,Model,ReferenceKey,ConnGroup,N_rows,Pos_count,obs_rate,mean_pred,calib_error,abs_calib_error
KLA31_25,ME2P,GSE203529_HEK293T_WT,11,268,38,0.141791044776119,0.423099619875292,0.281308575099173,0.281308575099173
KLA31_18,ME2P,HepG2_DMSO24h,12,303,228,0.752475247524752,0.281881999689536,-0.470593247835217,0.470593247835217
KLA31_19,ME2P,GSE171750_A549_untreated,13,175,86,0.491428571428572,0.391053702059057,-0.100374869369514,0.100374869369514
KLA31_22,ME2P,PC3M_DMSO,14,177,28,0.15819209039548,0.427893076953039,0.269700986557559,0.269700986557559
KLA31_23,ME2P,GSE266884_MES28_vector_control,15,320,220,0.6875,0.322385658188271,-0.365114341811729,0.365114341811729
KLA31_30,ME2P,GSE119834_NSC,15,307,164,0.534201954397394,0.332871187888966,-0.201330766508428,0.201330766508428
KLA31_24,ME2P,RKO_DMSO,16,193,90,0.466321243523316,0.430578502309738,-0.0357427412135786,0.0357427412135786
KLA31_26,ME2P,GSE275256_HMC3_vehicle,17,287,141,0.491289198606272,0.402599940897467,-0.0886892577088045,0.0886892577088045
KLA31_27,ME2P,HK2_untreated,18,216,141,0.652777777777778,0.322595225516141,-0.330182552261637,0.330182552261637
KLA31_28,ME2P,HK2_untreated,18,216,89,0.412037037037037,0.322595225516141,-0.0894418115208959,0.0894418115208959
KLA31_31,ME2P,HUVEC_untreated,19,323,172,0.532507739938081,0.367726505053415,-0.164781234884665,0.164781234884665
KLA31_01,XEN,tendon_nondiabetic,1,112,22,0.196428571428571,0.37460273964869,0.178174168220119,0.178174168220119
KLA31_02,XEN,GTEx_v8_Lung,2,280,21,0.075,0.364820987746587,0.289820987746587,0.289820987746587
KLA31_03,XEN,GSE181540_HS_input,3,70,14,0.2,0.45675922141091,0.25675922141091,0.25675922141091
KLA31_04,XEN,GSE181540_adjacent_NS_input,3,76,25,0.328947368421053,0.446764772741131,0.117817404320078,0.117817404320078
KLA31_05,XEN,GTEx_v8_Hippocampus,4,146,25,0.171232876712329,0.354699786069881,0.183466909357552,0.183466909357552
KLA31_06,XEN,GSE114691_control_placenta,5,228,8,0.0350877192982456,0.385730065508973,0.350642346210728,0.350642346210728
