Entry	Gene Names (primary)	Gene Names	Protein names
Q8TF30	WHAMM	WHAMM KIAA1971 WHDC1	WASP homolog-associated protein with actin, membranes and microtubules (WAS protein homology region 2 domain-containing protein 1) (WH2 domain-containing protein 1)
Q8TF40	FNIP1	FNIP1 KIAA1961	Folliculin-interacting protein 1
Q8TF42	UBASH3B	UBASH3B KIAA1959 STS1	Ubiquitin-associated and SH3 domain-containing protein B (EC 3.1.3.48) (Cbl-interacting protein p70) (Suppressor of T-cell receptor signaling 1) (STS-1) (T-cell ubiquitin ligand 2) (TULA-2) (Tyrosine-protein phosphatase STS1/TULA2)
Q8TF46	DIS3L	DIS3L DIS3L1 KIAA1955	DIS3-like exonuclease 1 (EC 3.1.13.1)
Q8TF47	ZFP90	ZFP90 KIAA1954 ZNF756	Zinc finger protein 90 homolog (Zfp-90) (Zinc finger protein 756)
Q8TF50	ZNF526	ZNF526 KIAA1951	Zinc finger protein 526
Q8TF62	ATP8B4	ATP8B4 KIAA1939	Probable phospholipid-transporting ATPase IM (EC 7.6.2.1) (ATPase class I type 8B member 4) (P4-ATPase flippase complex alpha subunit ATP8B4)
Q8TF63	DCANP1	DCANP1 C5orf20 DCNP1	Dendritic cell nuclear protein 1 (Dendritic cell nuclear protein-1) (Dendritic cell-associated nuclear protein)
Q8TF65	GIPC2	GIPC2	PDZ domain-containing protein GIPC2
Q8TF66	LRRC15	LRRC15 LIB	Leucine-rich repeat-containing protein 15 (Leucine-rich repeat protein induced by beta-amyloid homolog) (hLib)
Q8TF71	SLC16A10	SLC16A10 MCT10 TAT1	Monocarboxylate transporter 10 (MCT 10) (Aromatic amino acid transporter 1) (Solute carrier family 16 member 10) (T-type amino acid transporter 1)
Q8TF72	SHROOM3	SHROOM3 KIAA1481 SHRML MSTP013	Protein Shroom3 (Shroom-related protein) (hShrmL)
Q8TF74	WIPF2	WIPF2 WICH WIRE PP10631	WAS/WASL-interacting protein family member 2 (WASP-interacting protein-related protein) (WIP- and CR16-homologous protein) (WIP-related protein)
Q8TF76	HASPIN	HASPIN GSG2	Serine/threonine-protein kinase haspin (EC 2.7.11.1) (Germ cell-specific gene 2 protein) (H-haspin) (Haploid germ cell-specific nuclear protein kinase)
Q8WTP8	AEN	AEN ISG20L1 SBBI58	Apoptosis-enhancing nuclease (EC 3.1.-.-) (Interferon-stimulated 20 kDa exonuclease-like 1)
Q8WTQ1	DEFB104A; DEFB104B	DEFB104A DEFB104 DEFB4; DEFB104B	Beta-defensin 104 (Beta-defensin 4) (BD-4) (DEFB-4) (hBD-4) (Defensin, beta 104)
Q8WTQ7	GRK7	GRK7 GPRK7	Rhodopsin kinase GRK7 (EC 2.7.11.14) (G protein-coupled receptor kinase 7) (G protein-coupled receptor kinase GRK7)
Q8WTR2	DUSP19	DUSP19 DUSP17 LMWDSP3 SKRP1	Dual specificity protein phosphatase 19 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity phosphatase TS-DSP1) (Low molecular weight dual specificity phosphatase 3) (LMW-DSP3) (Protein phosphatase SKRP1) (Stress-activated protein kinase pathway-regulating phosphatase 1) (SAPK pathway-regulating phosphatase 1)
Q8WTR4	GDPD5	GDPD5 GDE2 PP6037 PP9363 UNQ1850/PRO3580	Glycerophosphodiester phosphodiesterase 2 (EC 3.1.4.-) (Glycerophosphocholine phosphodiesterase GDPD5) (EC 3.1.4.2) (Glycerophosphodiester phosphodiesterase domain-containing protein 5)
Q8WTR7	ZNF473	ZNF473 KIAA1141 ZFP100	Zinc finger protein 473 (Zinc finger protein 100 homolog) (Zfp-100)
Q8WTS1	ABHD5	ABHD5 NCIE2 CGI-58	1-acylglycerol-3-phosphate O-acyltransferase ABHD5 (EC 2.3.1.51) (Abhydrolase domain-containing protein 5) (Lipid droplet-binding protein CGI-58)
Q8WTS6	SETD7	SETD7 KIAA1717 KMT7 SET7 SET9	Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9)
Q8WTT0	CLEC4C	CLEC4C BDCA2 CLECSF11 CLECSF7 DLEC HECL UNQ9361/PRO34150	C-type lectin domain family 4 member C (Blood dendritic cell antigen 2) (BDCA-2) (C-type lectin superfamily member 7) (Dendritic lectin) (CD antigen CD303)
Q8WTT2	NOC3L	NOC3L AD24 C10orf117 FAD24	Nucleolar complex protein 3 homolog (NOC3 protein homolog) (Factor for adipocyte differentiation 24) (NOC3-like protein) (Nucleolar complex-associated protein 3-like protein)
Q8WTU0	DDI1	DDI1	Protein DDI1 homolog 1 (EC 3.4.23.-)
Q8WTV0	SCARB1	SCARB1 CD36L1 CLA1	Scavenger receptor class B member 1 (SRB1) (CD36 and LIMPII analogous 1) (CLA-1) (CD36 antigen-like 1) (Collagen type I receptor, thrombospondin receptor-like 1) (SR-BI) (CD antigen CD36)
Q8WTV1	THAP3	THAP3	THAP domain-containing protein 3
Q8WTW3	COG1	COG1 KIAA1381 LDLB	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)
Q8WTW4	NPRL2	NPRL2 TUSC4	GATOR1 complex protein NPRL2 (Gene 21 protein) (G21 protein) (Nitrogen permease regulator 2-like protein) (NPR2-like protein) (Tumor suppressor candidate 4)
Q8WTX7	CASTOR1	CASTOR1 GATSL3	Cytosolic arginine sensor for mTORC1 subunit 1 (Cellular arginine sensor for mTORC1 protein 1) (GATS-like protein 3)
Q8WTX9	ZDHHC1	ZDHHC1 C16orf1 ZNF377	Palmitoyltransferase ZDHHC1 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 1) (Zinc finger DHHC domain-containing protein 1) (DHHC-1) (Zinc finger protein 377)
Q8WU03	GLYATL2	GLYATL2	Glycine N-acyltransferase-like protein 2 (EC 2.3.1.13) (Acyl-CoA:glycine N-acyltransferase-like protein 2)
Q8WU08	STK32A	STK32A YANK1	Serine/threonine-protein kinase 32A (EC 2.7.11.1) (Yet another novel kinase 1)
Q8WU10	PYROXD1	PYROXD1	tRNA ligase complex-associated NAD(P)H dehydrogenase PYROXD1 (EC 1.6.99.1) (Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1)
Q8WU17	RNF139	RNF139 TRC8	E3 ubiquitin-protein ligase RNF139 (EC 2.3.2.27) (RING finger protein 139) (RING-type E3 ubiquitin transferase RNF139) (Translocation in renal carcinoma on chromosome 8 protein)
Q8WU20	FRS2	FRS2	Fibroblast growth factor receptor substrate 2 (FGFR substrate 2) (FGFR-signaling adaptor SNT) (Suc1-associated neurotrophic factor target 1) (SNT-1)
Q8WU39	MZB1	MZB1 MEDA7 PACAP HSPC190	Marginal zone B- and B1-cell-specific protein (Mesenteric estrogen-dependent adipose 7) (MEDA-7) (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein)
Q8WU58	FAM222B	FAM222B C17orf63	Protein FAM222B
Q8WU66	TSPEAR	TSPEAR C21orf29	Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR)
Q8WU67	ABHD3	ABHD3	Phospholipase ABHD3 (EC 3.1.1.32) (EC 3.1.1.4) (Abhydrolase domain-containing protein 3)
Q8WU68	U2AF1L4	U2AF1L4 U2AF1-RS3 U2AF1L3	Splicing factor U2AF 26 kDa subunit (U2 auxiliary factor 26) (U2 small nuclear RNA auxiliary factor 1-like protein 4) (U2AF1-like 4) (U2(RNU2) small nuclear RNA auxiliary factor 1-like protein 3) (U2 small nuclear RNA auxiliary factor 1-like protein 3) (U2AF1-like protein 3)
Q8WU79	SMAP2	SMAP2 SMAP1L	Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)
Q8WU90	ZC3H15	ZC3H15 DFRP1 LEREPO4 HSPC303 HT010 MSTP012 PP730	Zinc finger CCCH domain-containing protein 15 (DRG family-regulatory protein 1) (Likely ortholog of mouse immediate early response erythropoietin 4)
Q8WUA4	GTF3C2	GTF3C2 KIAA0011	General transcription factor 3C polypeptide 2 (TF3C-beta) (Transcription factor IIIC 110 kDa subunit) (TFIIIC 110 kDa subunit) (TFIIIC110) (Transcription factor IIIC subunit beta)
Q8WUA7	TBC1D22A	TBC1D22A C22orf4	TBC1 domain family member 22A
Q8WUA8	TSKU	TSKU E2IG4 LRRC54 TSK UNQ850/PRO1788	Tsukushi (E2-induced gene 4 protein) (Leucine-rich repeat-containing protein 54)
Q8WUB8	PHF10	PHF10 BAF45A	PHD finger protein 10 (BRG1-associated factor 45a) (BAF45a) (XAP135)
Q8WUD1	RAB2B	RAB2B	Ras-related protein Rab-2B (EC 3.6.5.2)
Q8WUD6	CHPT1	CHPT1 CPT1 MSTP022	Cholinephosphotransferase 1 (hCPT1) (EC 2.7.8.2) (AAPT1-like protein) (Diacylglycerol cholinephosphotransferase 1)
Q8WUE5	CT55	CT55 CXorf48	Cancer/testis antigen 55 (Tumor antigen BJ-HCC-20)
Q8WUF5	PPP1R13L	PPP1R13L IASPP NKIP1 PPP1R13BL RAI	RelA-associated inhibitor (Inhibitor of ASPP protein) (Protein iASPP) (NFkB-interacting protein 1) (PPP1R13B-like protein)
Q8WUF8	ARB2A	ARB2A C5orf21 FAM172A	Cotranscriptional regulator ARB2A (ARB2 cotranscriptional regulator A) (Cotranscriptional regulator FAM172A) (Protein FAM172A)
Q8WUG5	SLC22A17	SLC22A17 BOCT BOIT	Solute carrier family 22 member 17 (24p3 receptor) (24p3R) (Brain-type organic cation transporter) (Lipocalin-2 receptor) (Neutrophil gelatinase-associated lipocalin receptor) (NgalR)
Q8WUH2	TGFBRAP1	TGFBRAP1	Transforming growth factor-beta receptor-associated protein 1 (TGF-beta receptor-associated protein 1) (TRAP-1) (TRAP1)
Q8WUI4	HDAC7	HDAC7 HDAC7A	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-)
Q8WUJ0	STYX	STYX	Serine/threonine/tyrosine-interacting protein (Inactive tyrosine-protein phosphatase STYX) (Phosphoserine/threonine/tyrosine interaction protein)
Q8WUJ3	CEMIP	CEMIP HYBID KIAA1199	Cell migration-inducing and hyaluronan-binding protein (EC 3.2.1.35) (Hyaluronan binding protein involved in hyaluronan depolymerization)
Q8WUK0	PTPMT1	PTPMT1 MOSP PLIP PNAS-129	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (PTEN-like phosphatase) (Phosphoinositide lipid phosphatase) (Protein-tyrosine phosphatase mitochondrial 1) (EC 3.1.3.16, EC 3.1.3.48)
Q8WUM0	NUP133	NUP133	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)
Q8WUM4	PDCD6IP	PDCD6IP AIP1 ALIX KIAA1375	Programmed cell death 6-interacting protein (PDCD6-interacting protein) (ALG-2-interacting protein 1) (ALG-2-interacting protein X) (Hp95)
Q8WUM9	SLC20A1	SLC20A1 GLVR1 PIT1	Sodium-dependent phosphate transporter 1 (Gibbon ape leukemia virus receptor 1) (GLVR-1) (Leukemia virus receptor 1 homolog) (Phosphate transporter 1) (PiT-1) (Solute carrier family 20 member 1)
Q8WUP2	FBLIM1	FBLIM1 FBLP1	Filamin-binding LIM protein 1 (FBLP-1) (Migfilin) (Mitogen-inducible 2-interacting protein) (MIG2-interacting protein)
Q8WUQ7	CACTIN	CACTIN C19orf29	Splicing factor Cactin (Renal carcinoma antigen NY-REN-24)
Q8WUU4	ZNF296	ZNF296 ZNF342	Zinc finger protein 296 (ZFP296) (Zinc finger protein 342)
Q8WUU5	GATAD1	GATAD1 ODAG	GATA zinc finger domain-containing protein 1 (Ocular development-associated gene protein)
Q8WUU8	TMEM174	TMEM174	Transmembrane protein 174
Q8WUW1	BRK1	BRK1 C3orf10 HSPC300 MDS027	Protein BRICK1 (BRK1)
Q8WUX1	SLC38A5	SLC38A5 JM24 SN2 SNAT5 PP7194	Sodium-coupled neutral amino acid transporter 5 (Solute carrier family 38 member 5) (System N transporter 2)
Q8WUX9	CHMP7	CHMP7	Charged multivesicular body protein 7 (Chromatin-modifying protein 7)
Q8WUY3	PRUNE2	PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367	Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)
Q8WV16	DCAF4	DCAF4 WDR21 WDR21A	DDB1- and CUL4-associated factor 4 (WD repeat-containing protein 21A)
Q8WV19	SFT2D1	SFT2D1 C6orf83	Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)
Q8WV22	NSMCE1	NSMCE1 HSPC333 HSPC337	Non-structural maintenance of chromosomes element 1 homolog (Non-SMC element 1 homolog) (EC 2.3.2.27)
Q8WV24	PHLDA1	PHLDA1 PHRIP TDAG51	Pleckstrin homology-like domain family A member 1 (Apoptosis-associated nuclear protein) (Proline- and glutamine-rich protein) (PQ-rich protein) (PQR protein) (Proline- and histidine-rich protein) (T-cell death-associated gene 51 protein)
Q8WV28	BLNK	BLNK BASH SLP65	B-cell linker protein (B-cell adapter containing a SH2 domain protein) (B-cell adapter containing a Src homology 2 domain protein) (Cytoplasmic adapter protein) (Src homology 2 domain-containing leukocyte protein of 65 kDa) (SLP-65)
Q8WV41	SNX33	SNX33 SH3PX3 SH3PXD3C SNX30	Sorting nexin-33 (SH3 and PX domain-containing protein 3)
Q8WV44	TRIM41	TRIM41 RINCK	E3 ubiquitin-protein ligase TRIM41 (EC 2.3.2.27) (RING finger-interacting protein with C kinase) (RINCK) (Tripartite motif-containing protein 41)
Q8WV74	NUDT8	NUDT8	Mitochondrial coenzyme A diphosphatase NUDT8 (EC 3.6.1.-) (EC 3.6.1.77) (Nucleoside diphosphate-linked moiety X motif 8) (Nudix motif 8)
Q8WV92	MITD1	MITD1	MIT domain-containing protein 1
Q8WV93	AFG1L	AFG1L AFG1 LACE1	AFG1-like ATPase (Lactation elevated protein 1) (EC 3.6.-.-) (Protein AFG1 homolog)
Q8WV99	ZFAND2B	ZFAND2B AIRAPL	AN1-type zinc finger protein 2B (Arsenite-inducible RNA-associated protein-like protein) (AIRAP-like protein)
Q8WVB3	HEXD	HEXD HEXDC	Hexosaminidase D (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase D) (Hexosaminidase domain-containing protein) (N-acetyl-beta-galactosaminidase)
Q8WVB6	CHTF18	CHTF18 C16orf41 CTF18	Chromosome transmission fidelity protein 18 homolog (hCTF18) (CHL12)
Q8WVC0	LEO1	LEO1 RDL	RNA polymerase-associated protein LEO1 (Replicative senescence down-regulated leo1-like protein)
Q8WVD3	RNF138	RNF138 NARF HSD-4 HSD4	E3 ubiquitin-protein ligase RNF138 (EC 2.3.2.27) (Nemo-like kinase-associated RING finger protein) (NLK-associated RING finger protein) (hNARF) (RING finger protein 138) (RING-type E3 ubiquitin transferase RNF138)
Q8WVD5	RNF141	RNF141 ZNF230	RING finger protein 141 (Zinc finger protein 230)
Q8WVE7	TMEM170A	TMEM170A TMEM170	Transmembrane protein 170A
Q8WVF1	OSCP1	OSCP1 C1orf102 NOR1	Protein OSCP1 (hOSCP1) (Organic solute transport protein 1) (Oxidored-nitro domain-containing protein 1)
Q8WVJ2	NUDCD2	NUDCD2	NudC domain-containing protein 2
Q8WVJ9	TWIST2	TWIST2 BHLHA39 DERMO1	Twist-related protein 2 (Class A basic helix-loop-helix protein 39) (bHLHa39) (Dermis-expressed protein 1) (Dermo-1)
Q8WVK7	SKA2	SKA2 FAM33A	Spindle and kinetochore-associated protein 2 (Protein FAM33A)
Q8WVM0	TFB1M	TFB1M CGI-75	Dimethyladenosine transferase 1, mitochondrial (EC 2.1.1.-) (Mitochondrial 12S rRNA dimethylase 1) (Mitochondrial transcription factor B1) (h-mtTFB) (h-mtTFB1) (hTFB1M) (mtTFB1) (S-adenosylmethionine-6-N', N'-adenosyl(rRNA) dimethyltransferase 1)
Q8WVM7	STAG1	STAG1 SA1 SCC3	Cohesin subunit SA-1 (SCC3 homolog 1) (Stromal antigen 1)
Q8WVM8	SCFD1	SCFD1 C14orf163 KIAA0917 STXBP1L2 FKSG23	Sec1 family domain-containing protein 1 (SLY1 homolog) (Sly1p) (Syntaxin-binding protein 1-like 2)
Q8WVN6	SECTM1	SECTM1 K12	Secreted and transmembrane protein 1 (Protein K-12)
Q8WVN8	UBE2Q2	UBE2Q2	Ubiquitin-conjugating enzyme E2 Q2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme Q2) (Ubiquitin carrier protein Q2) (Ubiquitin-protein ligase Q2)
Q8WVP5	TNFAIP8L1	TNFAIP8L1	Tumor necrosis factor alpha-induced protein 8-like protein 1 (TIPE1) (TNF alpha-induced protein 8-like protein 1) (TNFAIP8-like protein 1) (Oxidative stress-regulated gene-beta) (Oxy-beta)
Q8WVP7	LMBR1	LMBR1 C7orf2 DIF14	Limb region 1 protein homolog (Differentiation-related gene 14 protein)
Q8WVQ1	CANT1	CANT1 SHAPY	Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107)
Q8WVR3	TRAPPC14	TRAPPC14 C7orf43 MAP11	Trafficking protein particle complex subunit 14 (Microtubule-associated protein 11)
Q8WVS4	DYNC2I1	DYNC2I1 WDR60	Cytoplasmic dynein 2 intermediate chain 1 (Dynein 2 intermediate chain 1) (WD repeat-containing protein 60)
Q8WVT3	TRAPPC12	TRAPPC12 TRAMM TTC15 CGI-87	Trafficking protein particle complex subunit 12 (Tetratricopeptide repeat protein 15) (TPR repeat protein 15) (TTC-15) (Trafficking of membranes and mitosis)
Q8WVV4	POF1B	POF1B	Protein POF1B (Premature ovarian failure protein 1B)
Q8WVV5	BTN2A2	BTN2A2 BT2.2 BTF2	Butyrophilin subfamily 2 member A2
Q8WVV9	HNRNPLL	HNRNPLL HNRPLL SRRF BLOCK24	Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor)
Q8WVX3	ARLN	ARLN C4orf3	Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator ARLN (SERCA regulator ARLN) (Allregulin) (Another-regulin) (ALN) (Hepatitis C virus F protein-transactivated protein 1) (HCV F-transactivated protein 1)
Q8WVX9	FAR1	FAR1 MLSTD2 UNQ2423/PRO4981	Fatty acyl-CoA reductase 1 (FAR1) (EC 1.2.1.84) (Male sterility domain-containing protein 2)
Q8WVY7	UBLCP1	UBLCP1	Ubiquitin-like domain-containing CTD phosphatase 1 (EC 3.1.3.16) (Nuclear proteasome inhibitor UBLCP1)
Q8WVZ1	ZDHHC19	ZDHHC19	Palmitoyltransferase ZDHHC19 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 19) (DHHC-19)
Q8WVZ7	RNF133	RNF133	E3 ubiquitin-protein ligase RNF133 (EC 2.3.2.27) (RING finger protein 133) (RING-type E3 ubiquitin transferase RNF133)
Q8WVZ9	KBTBD7	KBTBD7	Kelch repeat and BTB domain-containing protein 7
Q8WW01	TSEN15	TSEN15 C1orf19 SEN15	tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15)
Q8WW12	PCNP	PCNP	PEST proteolytic signal-containing nuclear protein (PCNP) (PEST-containing nuclear protein)
Q8WW22	DNAJA4	DNAJA4	DnaJ homolog subfamily A member 4
Q8WW24	TEKT4	TEKT4	Tektin-4
Q8WW34	TMEM239	TMEM239	Transmembrane protein 239
Q8WW35	DYNLT2B	DYNLT2B TCTEX1D2	Dynein light chain Tctex-type protein 2B (Tctex1 domain-containing protein 2)
Q8WW38	ZFPM2	ZFPM2 FOG2 ZNF89B	Zinc finger protein ZFPM2 (Friend of GATA protein 2) (FOG-2) (Friend of GATA 2) (hFOG-2) (Zinc finger protein 89B) (Zinc finger protein multitype 2)
Q8WW43	APH1B	APH1B PSFL UNQ688/PRO1328	Gamma-secretase subunit APH-1B (APH-1b) (Aph-1beta) (Presenilin-stabilization factor-like)
Q8WWA0	ITLN1	ITLN1 INTL ITLN LFR UNQ640/PRO1270	Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin)
Q8WWB3	DYDC1	DYDC1 DPY30D1 RSD-9 RSD9	DPY30 domain-containing protein 1
Q8WWB5	PIH1D2	PIH1D2	PIH1 domain-containing protein 2
Q8WWB7	GLMP	GLMP C1orf85 PSEC0030 UNQ2553/PRO6182	Glycosylated lysosomal membrane protein (Lysosomal protein NCU-G1)
Q8WWC4	MAIP1	MAIP1 C2orf47	m-AAA protease-interacting protein 1, mitochondrial (Matrix AAA peptidase-interacting protein 1)
Q8WWF3	SSMEM1	SSMEM1 C7orf45	Serine-rich single-pass membrane protein 1
Q8WWF5	ZNRF4	ZNRF4 RNF204	E3 ubiquitin-protein ligase ZNRF4 (EC 2.3.2.27) (Nixin) (RING finger protein 204) (RING-type E3 ubiquitin transferase ZNRF4) (Zinc/RING finger protein 4)
Q8WWG9	KCNE4	KCNE4	Potassium voltage-gated channel subfamily E member 4 (MinK-related peptide 3) (MiRP3) (Minimum potassium ion channel-related peptide 3) (Potassium channel subunit beta MiRP3)
Q8WWH4	ASZ1	ASZ1 ALP1 ANKL1 C7orf7 GASZ	Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1 (Ankyrin-like protein 1) (Germ cell-specific ankyrin, SAM and basic leucine zipper domain-containing protein)
Q8WWH5	TRUB1	TRUB1 PUS4	Pseudouridylate synthase TRUB1 (EC 5.4.99.-) (TruB pseudouridine synthase homolog 1) (tRNA pseudouridine 55 synthase TRUB1) (Psi55 synthase TRUB1) (EC 5.4.99.25)
Q8WWI1	LMO7	LMO7 FBX20 FBXO20 KIAA0858	LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP)
Q8WWI5	SLC44A1	SLC44A1 CD92 CDW92 CTL1	Choline transporter-like protein 1 (CDw92) (Solute carrier family 44 member 1) (CD antigen CD92)
Q8WWK9	CKAP2	CKAP2 LB1 TMAP	Cytoskeleton-associated protein 2 (CTCL tumor antigen se20-10) (Tumor- and microtubule-associated protein)
Q8WWL2	SPIRE2	SPIRE2 KIAA1832 SPIR2	Protein spire homolog 2 (Spir-2)
Q8WWL7	CCNB3	CCNB3 CYCB3	G2/mitotic-specific cyclin-B3
Q8WWM7	ATXN2L	ATXN2L A2D A2LG A2LP A2RP	Ataxin-2-like protein (Ataxin-2 domain protein) (Ataxin-2-related protein)
Q8WWM9	CYGB	CYGB STAP	Cytoglobin (Histoglobin) (HGb) (Nitric oxygen dioxygenase CYGB) (NOD) (EC 1.14.12.-) (Nitrite reductase CYGB) (EC 1.7.-.-) (Pseudoperoxidase CYGB) (EC 1.11.1.-) (Stellate cell activation-associated protein) (Superoxide dismutase CYGB) (EC 1.15.1.1)
Q8WWN8	ARAP3	ARAP3 CENTD3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3 (Centaurin-delta-3) (Cnt-d3)
Q8WWN9	IPCEF1	IPCEF1 KIAA0403	Interactor protein for cytohesin exchange factors 1 (Phosphoinositide-binding protein PIP3-E)
Q8WWP7	GIMAP1	GIMAP1 IMAP1	GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1)
Q8WWQ0	PHIP	PHIP DCAF14 WDR11	PH-interacting protein (PHIP) (DDB1- and CUL4-associated factor 14) (IRS-1 PH domain-binding protein) (WD repeat-containing protein 11)
Q8WWQ2	HPSE2	HPSE2 HPA2	Inactive heparanase-2 (Hpa2)
Q8WWQ8	STAB2	STAB2 FEEL2 FELL FEX2 HARE	Stabilin-2 (FAS1 EGF-like and X-link domain-containing adhesion molecule 2) (Fasciclin, EGF-like, laminin-type EGF-like and link domain-containing scavenger receptor 2) (FEEL-2) (Hyaluronan receptor for endocytosis) [Cleaved into: 190 kDa form stabilin-2 (190 kDa hyaluronan receptor for endocytosis)]
Q8WWR8	NEU4	NEU4 LP5125	Sialidase-4 (EC 3.2.1.18) (N-acetyl-alpha-neuraminidase 4) (Neuraminidase 4)
Q8WWT9	SLC13A3	SLC13A3 NADC3 SDCT2	Na(+)/dicarboxylate cotransporter 3 (NaDC-3) (hNaDC3) (Na(+)-coupled carboxylate transporter 3) (NaC3) (Sodium-dependent high-affinity dicarboxylate transporter 2) (Solute carrier family 13 member 3) (SLC13A3)
Q8WWU5	TCP11	TCP11	T-complex protein 11 homolog
Q8WWV3	RTN4IP1	RTN4IP1 NIMP	NAD(P)H oxidoreductase RTN4IP1, mitochondrial (EC 1.6.5.-) (NOGO-interacting mitochondrial protein) (Reticulon-4-interacting protein 1)
Q8WWV6	FCAMR	FCAMR FKSG87	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor (Fc alpha/mu receptor) (CD antigen CD351)
Q8WWW0	RASSF5	RASSF5 NORE1 RAPL	Ras association domain-containing protein 5 (New ras effector 1) (Regulator for cell adhesion and polarization enriched in lymphoid tissues) (RAPL)
Q8WWW8	GAB3	GAB3	GRB2-associated-binding protein 3 (GRB2-associated binder 3) (Growth factor receptor bound protein 2-associated protein 3)
Q8WWX8	SLC5A11	SLC5A11 KST1 SLGTX SMIT2	Sodium/myo-inositol cotransporter 2 (Na(+)/myo-inositol cotransporter 2) (Sodium-dependent glucose cotransporter) (Sodium/glucose cotransporter KST1) (Sodium/myo-inositol transporter 2) (SMIT2) (Solute carrier family 5 member 11)
Q8WWX9	SELENOM	SELENOM SELM	Selenoprotein M (SelM)
Q8WWY3	PRPF31	PRPF31 PRP31	U4/U6 small nuclear ribonucleoprotein Prp31 (Pre-mRNA-processing factor 31) (Serologically defined breast cancer antigen NY-BR-99) (U4/U6 snRNP 61 kDa protein) (Protein 61K) (hPrp31)
Q8WWY6	MBD3L1	MBD3L1 MBD3L	Methyl-CpG-binding domain protein 3-like 1 (MBD3-like protein 1)
Q8WWY8	LIPH	LIPH LPDLR MPAPLA1 PLA1B	Lipase member H (LIPH) (EC 3.1.1.-) (LPD lipase-related protein) (Membrane-associated phosphatidic acid-selective phospholipase A1-alpha) (mPA-PLA1 alpha) (Phospholipase A1 member B)
